code;literal
A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A082;ENTERITIS DEBIDA A ADENOVIRUS
A083;OTRAS ENTERITIS VIRALES
A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION
A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
M021;ARTROPATIA POSTDISENTERICA
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A157;TUBERC RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOG
A167;TUBERC RESPIRAT PRIMARIA, SIN MENCION DE CONFIRMAC BACTERIOL O HISTOL
A157;TUBERC RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOG
A167;TUBERC RESPIRAT PRIMARIA, SIN MENCION DE CONFIRMAC BACTERIOL O HISTOL
A157;TUBERC RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOG
A167;TUBERC RESPIRAT PRIMARIA, SIN MENCION DE CONFIRMAC BACTERIOL O HISTOL
A157;TUBERC RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOG
A167;TUBERC RESPIRAT PRIMARIA, SIN MENCION DE CONFIRMAC BACTERIOL O HISTOL
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A155;TUBERC LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOL E HISTOLOG
A164;TBC LARINGE TRAQUEA BRONQUIOS SIN MENCION DE CONFIRMAC BACTERIL HISTOL
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
J65;NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A150;TBC PULMON CONFIRMA POR MICROSC BACILO TUBERC ESPUTO CON O SIN CULTIVO
A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO
A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE
A153;TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS
A159;TUBERC RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOL E HISTOLOG
A160;TUBERCULOSIS PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A164;TBC LARINGE TRAQUEA BRONQUIOS SIN MENCION DE CONFIRMAC BACTERIL HISTOL
A169;TUBERC RESPIRAT NO ESPEC, SIN MENCION DE CONFIRMAC BACTERIOL O HISTOL
B909;SECUELAS DE TUBERCULOSIS RESPIRATORIA Y DE TUBERCULOSIS NO ESPECIF
A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A162;TUBERC PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOG
A165;PLEURESIA TUBERC, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOL
B909;SECUELAS DE TUBERCULOSIS RESPIRATORIA Y DE TUBERCULOSIS NO ESPECIF
A154;TBC GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOL E HISTOL
A163;TBC GANGL LINFAT INTRATORACIC SIN MENCION CONFIRMAC BACTERIOL O HISTOL
A155;TUBERC LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOL E HISTOLOG
A155;TUBERC LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOL E HISTOLOG
A164;TBC LARINGE TRAQUEA BRONQUIOS SIN MENCION DE CONFIRMAC BACTERIL HISTOL
A155;TUBERC LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOL E HISTOLOG
A158;OTRAS TBC RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE
A164;TBC LARINGE TRAQUEA BRONQUIOS SIN MENCION DE CONFIRMAC BACTERIL HISTOL
A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION
A170;MENINGITIS TUBERCULOSA (G01*)
A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A171;TUBERCULOMA MENINGEO (G07*)
A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A183;TUBERC DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
B908;SECUELAS DE TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
O980;TUBERCULOSIS QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
B908;SECUELAS DE TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A182;LINFADENOPATIA PERIFERICA TUBERCULOSA
B908;SECUELAS DE TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A185;TUBERCULOSIS DEL OJO
A186;TUBERCULOSIS DEL OIDO
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)
B908;SECUELAS DE TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA
A198;OTRAS TUBERCULOSIS MILIARES
A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION
A200;PESTE BUBONICA
A201;PESTE CELULOCUTANEA
A207;PESTE SEPTICEMICA
A202;PESTE NEUMONICA
A202;PESTE NEUMONICA
A202;PESTE NEUMONICA
A203;MENINGITIS POR PESTE
A208;OTRAS FORMAS DE PESTE
A208;OTRAS FORMAS DE PESTE
A209;PESTE, NO ESPECIFICADA
A210;TULAREMIA ULCEROGLANDULAR
A211;TULAREMIA OCULOGLANDULAR
A212;TULAREMIA PULMONAR
A213;TULAREMIA GASTROINTESTINAL
A217;TULAREMIA GENERALIZADA
A218;OTRAS FORMAS DE TULAREMIA
A219;TULAREMIA, NO ESPECIFICADA
A220;CARBUNCO CUTANEO
A221;CARBUNCO PULMONAR
A222;CARBUNCO GASTROINTESTINAL
A227;CARBUNCO SEPTICEMICO
A228;OTRAS FORMAS DE CARBUNCO
A229;CARBUNCO, NO ESPECIFICADO
A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238;OTRAS BRUCELOSIS
A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A239;BRUCELOSIS, NO ESPECIFICADA
A240;MUERMO
A241;MELIOIDOSIS AGUDA Y FULMINANTE
A242;MELIOIDOSIS SUBAGUDA Y CRONICA
A243;OTRAS MELIOIDOSIS
A244;MELIOIDOSIS, NO ESPECIFICADA
A250;ESPIRILOSIS
A251;ESTREPTOBACILOSIS
A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA
A320;LISTERIOSIS CUTANEA
A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327;SEPTICEMIA LISTERIANA
A328;OTRAS FORMAS DE LISTERIOSIS
A329;LISTERIOSIS, NO ESPECIFICADA
A260;ERISIPELOIDE CUTANEO
A267;SEPTICEMIA POR ERYSIPELOTHRIX
A268;OTRAS FORMAS DE ERISIPELOIDE
A269;ERISIPELOIDE, NO ESPECIFICADA
A280;PASTEURELOSIS
A282;YERSINIOSIS EXTRAINTESTINAL
A288;OTRAS ENF ZOONOTICAS BACTERIANAS ESPEC, NO CLASIFICADAS EN OTRA PARTE
A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION
A305;LEPRA LEPROMATOSA
A301;LEPRA TUBERCULOIDE
A309;LEPRA, NO ESPECIFICADA
A300;LEPRA INDETERMINADA
A309;LEPRA, NO ESPECIFICADA
A303;LEPRA LIMITROFE
A302;LEPRA TUBERCULOIDE LIMITROFE
A304;LEPRA LEPROMATOSA LIMITROFE
A308;OTRAS FORMAS DE LEPRA
A305;LEPRA LEPROMATOSA
A309;LEPRA, NO ESPECIFICADA
A310;INFECCIONES POR MICOBACTERIAS PULMONARES
A318;OTRAS INFECCIONES POR MICOBACTERIAS
A311;INFECCION CUTANEA POR MICOBACTERIAS
A318;OTRAS INFECCIONES POR MICOBACTERIAS
A318;OTRAS INFECCIONES POR MICOBACTERIAS
A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA
A360;DIFTERIA FARINGEA
A368;OTRAS DIFTERIAS
A360;DIFTERIA FARINGEA
A361;DIFTERIA NASOFARINGEA
A368;OTRAS DIFTERIAS
A362;DIFTERIA LARINGEA
A368;OTRAS DIFTERIAS
A363;DIFTERIA CUTANEA
A368;OTRAS DIFTERIAS
A369;DIFTERIA, NO ESPECIFICADA
A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379;TOS FERINA, NO ESPECIFICADA
J00;RINOFARINGITIS AGUDA (RESFRIADO COMUN)
J020;FARINGITIS ESTREPTOCOCICA
J030;AMIGDALITIS ESTREPTOCOCICA
J040;LARINGITIS AGUDA
J041;TRAQUEITIS AGUDA
J042;LARINGOTRAQUEITIS AGUDA
J069;INFECCION AGUDA DE LAS VIAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA
A38;ESCARLATINA
R897;HGOS ANOR MTRAS DE OTR ORGANOS, SISTEMAS Y TEJIDOS, HGOS HISTOLOG ANOR
A46;ERISIPELA
A390;MENINGITIS MENINGOCOCICA (G01*)
A398;OTRAS INFECCIONES MENINGOCOCICAS
A398;OTRAS INFECCIONES MENINGOCOCICAS
A392;MENINGOCOCEMIA AGUDA
A393;MENINGOCOCEMIA CRONICA
A394;MENINGOCOCEMIA, NO ESPECIFICADA
A391;SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*)
A395;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
A398;OTRAS INFECCIONES MENINGOCOCICAS
A399;INFECCION MENINGOCOCICA, NO ESPECIFICADA
A35;OTROS TETANOS
A400;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A
A401;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B
A402;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D
A408;OTRAS SEPTICEMIAS ESTREPTOCOCICAS
A409;SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA
A410;SEPTICEMIA DEBIDA A STAPHYLOCOCCUS AUREUS
A411;SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412;SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A403;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
A414;SEPTICEMIA DEBIDA A ANAEROBIOS
A415;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A413;SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE
A418;OTRAS SEPTICEMIAS ESPECIFICADAS
A419;SEPTICEMIA, NO ESPECIFICADA
A428;OTRAS FORMAS DE ACTINOMICOSIS
A431;NOCARDIOSIS CUTANEA
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
L081;ERITRASMA
A420;ACTINOMICOSIS PULMONAR
A430;NOCARDIOSIS PULMONAR
A421;ACTINOMICOSIS ABDOMINAL
A422;ACTINOMICOSIS CERVICOFACIAL
B470;EUMICETOMA
B471;ACTINOMICETOMA
B479;MICETOMA, NO ESPECIFICADO
A427;SEPTICEMIA ACTINOMICOTICA
A428;OTRAS FORMAS DE ACTINOMICOSIS
A438;OTRAS FORMAS DE NOCARDIOSIS
B479;MICETOMA, NO ESPECIFICADO
A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION
A439;NOCARDIOSIS, NO ESPECIFICADA
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
B470;EUMICETOMA
B471;ACTINOMICETOMA
B479;MICETOMA, NO ESPECIFICADO
A480;GANGRENA GASEOSA
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
K908;OTROS TIPOS DE MALABSORCION INTESTINAL
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA (FIEBRE DE PONTIAC)
A484;FIEBRE PURPURICA BRASILE�A
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION
B950;ESTREPTOCOCO, GRUPO A, COMO CAUSA DE ENFERMEDADES CEOC
B951;ESTREPTOCOCO, GRUPO B, COMO CAUSA DE ENFERMEDADES CEOC
B952;ESTREPTOCOCO, GRUPO D, COMO CAUSA DE ENFERMEDADES CEOC
B954;OTROS ESTREPTOCOCOS COMO CAUSA DE ENFERMEDADES CEOC
B955;ESTREPTOCOCO NO ESPECIFICADO COMO CAUSA DE ENFERMEDADES CEOC
A490;INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACION
B956;STAPHYLOCOCCUS AUREUS COMO CAUSA DE ENFERMEDADES CEOC
B957;OTROS ESTAFILOCOCOS COMO CAUSA DE ENFERMEDADES CEOC
B958;ESTAFILOCOCO NO ESPECIFICADO, COMO CAUSA DE ENFERMEDADES CEOC
A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION
B953;STREPTOCOCCUS PNEUMONIAE COMO CAUSA DE ENFERMEDADES CEOC
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
B961;KLEBSIELLA PNEUMONIAE (K. PNEUMONIAE) COMO CAUSA DE ENFERMEDADES CEOC
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
B962;ESCHERICHIA COLI (E. COLI) COMO CAUSA DE ENFERMEDADES CEOC
A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION
B963;HAEMOPHILUS INFLUENZAE (H. INFLUENZAE) COMO CAUSA DE ENFERMEDADES CEOC
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
B964;PROTEUS (MIRABILIS) (MORGANII) COMO CAUSA DE ENFERMEDADES CEOC
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
B965;PSEUDOMONAS (AERUGINOSA) (MALLEI) (PSEUDOMALLEI) POR CAUSA DE ENF CEOC
A493;INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
B960;MYCOPLASMA PNEUMONIAE (M. PNEUMONIAE) COMO CAUSA DE ENFERMEDADES CEOC
B966;BACILLUS FRAGILIS (B. FRAGILIS) COMO CAUSA DE ENFERMEDADES CEOP
B967;CLOSTRIDIUM PERFRINGENS (C. PERFRINGENS) COMO CAUSA DE ENF CEOC
B968;OTROS AGENTES BACTERIANOS ESPECIF COMO CAUSA DE ENFERMEDADES CEOC
A499;INFECCION BACTERIANA, NO ESPECIFICADA
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y LAS NO ESPECIFICADAS
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION
A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA
A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y LAS NO ESPECIFICADAS
A804;POLIOMIELITIS AGUDA NO PARALITICA
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y LAS NO ESPECIFICADAS
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION
A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
A810;ENFERMEDAD DE CREUTZFELDT-JAKOB
A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
A819;INFECC SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO, SIN OTRA ESPECIFICAC
A870;MENINGITIS ENTEROVIRAL (G02.0*)
A870;MENINGITIS ENTEROVIRAL (G02.0*)
A870;MENINGITIS ENTEROVIRAL (G02.0*)
A870;MENINGITIS ENTEROVIRAL (G02.0*)
A878;OTRAS MENINGITIS VIRALES
A879;MENINGITIS VIRAL, SIN OTRA ESPECIFICACION
G030;MENINGITIS APIOGENA
A850;ENCEFALITIS ENTEROVIRAL (G05.1*)
A86;ENCEFALITIS VIRAL, NO ESPECIFICADA
A880;FIEBRE EXANTEMATICA ENTEROVIRAL (EXANTEMA DE BOSTON)
A888;OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
A872;CORIOMENINGITIS LINFOCITICA
A871;MENINGITIS DEBIDA A ADENOVIRUS (G02.0*)
A851;ENCEFALITIS POR ADENOVIRUS (G05.1*)
A858;OTRAS ENCEFALITIS VIRALES ESPECIFICADAS
A86;ENCEFALITIS VIRAL, NO ESPECIFICADA
A888;OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
B258;OTRAS ENFERMEDADES DEBIDAS A VIRUS CITOMEGALICO
G933;SINDROME DE FATIGA POSTVIRAL
A86;ENCEFALITIS VIRAL, NO ESPECIFICADA
A89;INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA
B03;VIRUELA
B03;VIRUELA
B03;VIRUELA
B03;VIRUELA
B080;OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B080;OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B080;OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B080;OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B010;MENINGITIS DEBIDA A VARICELA (G02.0*)
B011;ENCEFALITIS DEBIDA A VARICELA (G05.1*)
B012;NEUMONIA DEBIDA A VARICELA (J17.1*)
B018;VARICELA CON OTRAS COMPLICACIONES
B019;VARICELA SIN COMPLICACIONES
B021;MENINGITIS DEBIDA A HERPES ZOSTER (G02.0*)
B020;ENCEFALITIS DEBIDA A HERPES ZOSTER (G05.1*)
B022;HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO
B023;HERPES ZOSTER OCULAR
B022;HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO
B027;HERPES ZOSTER DISEMINADO
B028;HERPES ZOSTER CON OTRAS COMPLICACIONES
B028;HERPES ZOSTER CON OTRAS COMPLICACIONES
B029;HERPES ZOSTER SIN COMPLICACIONES
B000;ECZEMA HERPETICO
A600;INF GENITALES Y TRAYECTO UROGENITAL POR VIRUS HERPES (HERPES SIMPLE)
A609;INFECC ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION
B002;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA
B004;ENCEFALITIS HERPETICA (G05.1*)
B005;OCULOPATIA HERPETICA
B007;ENFERMEDAD HERPETICA DISEMINADA
B008;OTRAS FORMAS DE INFECCIONES HERPETICAS
A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
B001;DERMATITIS VESICULAR HERPETICA
B002;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA
B003;MENINGITIS HERPETICA (G02.0*)
B008;OTRAS FORMAS DE INFECCIONES HERPETICAS
B008;OTRAS FORMAS DE INFECCIONES HERPETICAS
B001;DERMATITIS VESICULAR HERPETICA
B009;INFECCION DEBIDA AL VIRUS DEL HERPES, NO ESPECIFICADA
B050;SARAMPION COMPLICADO CON ENCEFALITIS (G05.1*)
B052;SARAMPION COMPLICADO CON NEUMONIA (J17.1*)
B053;SARAMPION COMPLICADO CON OTITIS MEDIA (H67.1*)
B051;SARAMPION COMPLICADO CON MENINGITIS (G02.0*)
B054;SARAMPION CON COMPLICACIONES INTESTINALES
B058;SARAMPION CON OTRAS COMPLICACIONES
B058;SARAMPION CON OTRAS COMPLICACIONES
B059;SARAMPION SIN COMPLICACIONES
B060;RUBEOLA CON COMPLICACIONES NEUROLOGICAS
B068;RUBEOLA CON OTRAS COMPLICACIONES
B068;RUBEOLA CON OTRAS COMPLICACIONES
B069;RUBEOLA SIN COMPLICACIONES
